Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000194418, 9.856e-05, 9.4629e-05, 1.664e-06, 577, 1514, 6
0.000265248, 0.000162516, 0.000101033, 2.861e-06, 562, 1664, 10
0.000384009, 0.000233208, 0.000148137, 3.309e-06, 555, 1424, 6
0.000266211, 0.000158876, 0.000105461, 3.182e-06, 557, 1649, 10
0.00032723, 0.000173539, 0.000152469, 3.049e-06, 541, 1501, 8
0.000265944, 0.000179697, 8.5212e-05, 2.232e-06, 562, 1613, 6
0.000211749, 0.000120613, 9.0403e-05, 1.079e-06, 569, 1747, 3
0.000247205, 0.000141412, 0.000102876, 1.754e-06, 573, 1643, 5
0.000329208, 0.000243373, 8.212e-05, 1.189e-06, 574, 1691, 4
0.000177173, 0.000108481, 6.7645e-05, 2.1e-06, 578, 1631, 6
0.000471073, 0.000170787, 0.000298561, 1.0801e-05, 553, 1538, 6
0.00043182, 0.000139791, 0.0002913, 3.142e-06, 564, 1537, 3
0.000564057, 0.000391608, 0.00017002, 3.793e-06, 552, 1516, 9
0.000483203, 0.000197055, 0.000280359, 1.0249e-05, 574, 1569, 10
0.000357125, 0.00019376, 0.000162206, 2.377e-06, 562, 1703, 7
0.000308516, 0.000162738, 0.00014433, 7.186e-06, 598, 1671, 16
0.000299599, 0.000187395, 0.000111306, 1.816e-06, 572, 1708, 8
0.000399906, 0.000312085, 8.4242e-05, 3.191e-06, 595, 1688, 10
0.000347323, 0.000208101, 0.000137897, 2.196e-06, 578, 1635, 6
0.00039144, 0.000267343, 0.000117582, 1.614e-06, 591, 1546, 6
0.000627081, 0.000446481, 0.00017794, 2.258e-06, 581, 1691, 7
0.000263549, 0.000153745, 0.000108022, 2.379e-06, 582, 1600, 8
0.000401082, 0.00023504, 0.000164459, 3.99e-06, 582, 1807, 13
0.00083792, 0.000302851, 0.000532001, 1.4456e-05, 587, 1721, 13
0.000196697, 0.000112494, 8.3277e-05, 2.416e-06, 581, 1679, 9
